max x,max y,max z,min x,min y,min z,mean x,mean y,mean z,std x,std y,std z,max diff x,max diff y,max diff z,max E,min E,mean E,std E,class,hand
0.234375,1.984375,1.71875,-1.921875,-0.484375,-0.953125,-0.5796875,0.7859375,-0.08330078125,0.37441073329849867,0.5816738876689516,0.3206232044762194,1.28125,0.640625,1.9375,2.2022937261523494,0.13441133229754104,1.1327429243824387,0.5068205913417256,bendingDown,leftHand
0.328125,1.828125,1.421875,-1.421875,-0.546875,-0.75,-0.44951171875,0.7005859375,-0.1671875,0.31050968915499927,0.5332085829411147,0.3025174445305312,0.578125,0.921875,2.015625,1.9225100576785028,0.41721968508808405,1.044899175530337,0.3145314983755502,bendingDown,leftHand
-0.015625,1.5625,1.015625,-1.078125,-0.453125,-0.5,-0.47275390625,0.59580078125,0.26484375,0.2440466898690911,0.4923878899585619,0.3586492021412301,0.765625,0.3125,0.609375,1.600552272849906,0.5755856392623082,1.0202392498407789,0.1894615244828963,bendingDown,leftHand
0.203125,1.625,0.890625,-1.03125,-0.046875,-0.734375,-0.398046875,0.74169921875,0.0173828125,0.24590013566432348,0.40262778726999565,0.42677638256689293,0.75,0.8125,0.578125,1.8073742176151568,0.4501518840902479,1.0343427127199851,0.2035681457959445,bendingDown,leftHand
0.078125,1.828125,1.125,-1.203125,-0.890625,-0.484375,-0.51416015625,0.70302734375,0.0017578125,0.2662387521511247,0.5180966729046022,0.27635384644486183,0.859375,0.890625,0.46875,2.1399976270430767,0.38177474133970674,1.0575969469879107,0.2313332258599448,bendingDown,leftHand
0.125,1.484375,0.921875,-1.234375,-0.390625,-0.484375,-0.416015625,0.7232421875,0.145703125,0.2949512001096924,0.5051401092858651,0.23395566522753777,0.6875,0.421875,0.640625,1.645454202112596,0.2821167200823092,1.024118373278892,0.25173931101907776,bendingDown,leftHand
0.140625,1.625,0.5625,-1.046875,0.265625,-0.484375,-0.39267578125,0.8962890625,0.05751953125,0.19694285632887776,0.2581256585062869,0.240549382893883,0.78125,0.296875,0.328125,1.7895912155433709,0.4648273368951099,1.0314646827110692,0.24402559190411646,bendingDown,leftHand
0.453125,1.625,0.546875,-1.265625,0.15625,-1.265625,-0.37275390625,0.8615234375,-0.149609375,0.30602493251422686,0.2916200941660958,0.31165643809624666,1.171875,0.6875,0.59375,2.024869787480173,0.3472829807952011,1.059841708629376,0.23394028009577877,bendingDown,leftHand
-0.03125,1.421875,0.453125,-0.859375,0.5,-0.5,-0.2828125,0.9654296875,0.03671875,0.1383318888687183,0.19409417578536747,0.20818489208502342,0.453125,0.375,0.390625,1.5111887394531498,0.6151568651571727,1.037442355496371,0.19197037132244546,bendingDown,leftHand
0.34375,1.9375,1.171875,-1.828125,-0.515625,-0.5625,-0.3083984375,0.8640625,0.1521484375,0.30654951570554506,0.47598517393900885,0.3030432700190396,1.125,1.03125,0.515625,2.75970411400842,0.1307281291459493,1.0619052994909055,0.38462565158138756,bendingDown,leftHand
0.09375,1.453125,0.40625,-0.765625,0.421875,-0.5625,-0.28916015625,0.94736328125,-0.01962890625,0.11235956133924027,0.19898664356037452,0.19526038514620417,0.6875,0.421875,0.28125,1.6348111272789283,0.5287163848652697,1.0152340152680595,0.20207296917398823,bendingDown,leftHand
1.46875,1.53125,1.484375,-1.921875,-0.125,-0.546875,-0.22919921875,0.85537109375,0.16279296875,0.45211481231814066,0.36913258519455117,0.3033774189079306,0.71875,0.421875,0.59375,2.3969992634020563,0.2799448885495143,1.0634139361069983,0.33246851089434604,bendingDown,leftHand
0.09375,1.546875,0.671875,-1.671875,-0.046875,-0.625,-0.355859375,0.9443359375,-0.14853515625,0.27503924953966613,0.2161279248756747,0.23390608802111204,0.84375,0.609375,0.9375,2.1241956198170637,0.09631896879639025,1.0725999308599565,0.2576362376570617,bendingDown,leftHand
0.109375,1.59375,0.59375,-0.515625,0.546875,-0.203125,-0.25361328125,0.9740234375,0.16923828125,0.1017791725260018,0.22723254381287264,0.14791260300703465,0.59375,0.359375,0.796875,1.6484189868628667,0.6649350884672879,1.0354992421609321,0.23044247743973686,bendingDown,leftHand
0.015625,1.5625,0.6875,-1.390625,0.40625,-0.171875,-0.46162109375,0.84072265625,0.16728515625,0.21047090453372105,0.2677495322917077,0.19960281471530164,0.625,0.671875,0.28125,1.744480693680787,0.6139650845121406,1.019559472292677,0.25227835354296346,bendingDown,leftHand
1.984375,1.984375,1.984375,-2.0,-1.296875,-1.515625,-0.4427734375,0.89521484375,0.11474609375,0.4500286868886254,0.425766385209479,0.4037479146951121,3.984375,2.984375,2.71875,3.091500128881608,0.2939826206597934,1.1459774397057383,0.492211463971801,bendingDown,leftHand
0.75,1.984375,1.984375,-1.5,-0.640625,-0.75,-0.68603515625,0.5041015625,-0.0173828125,0.35682931110894583,0.6106762923500664,0.3959948808927937,2.125,2.46875,2.609375,2.9048215575573657,0.3759752942348739,1.0992467349341468,0.41321489297154035,bendingDown,leftHand
0.078125,1.75,0.796875,-1.046875,-0.078125,-0.734375,-0.380859375,0.82666015625,-0.0126953125,0.27824074732662246,0.3964785356112574,0.36555010311405217,0.75,0.859375,0.4375,2.0523543074052784,0.42100604954085874,1.060596314045855,0.26475293332302846,bendingDown,leftHand
0.1875,1.90625,0.953125,-0.9375,0.109375,-0.5,-0.3404296875,0.81328125,0.13466796875,0.20117966254313804,0.4267469241874615,0.3516236270888767,0.65625,0.453125,0.375,2.0647478281257494,0.3175375223890871,1.0248755242754883,0.29951045302777923,bendingDown,leftHand
0.3125,1.484375,0.765625,-0.828125,0.328125,-0.71875,-0.253515625,0.9662109375,0.02138671875,0.18977872063178824,0.2275161728767852,0.24723076797404003,0.65625,0.375,0.484375,1.6383168287147636,0.6069663937360947,1.0454854328162984,0.23142616590756843,bendingDown,leftHand
